source,target,relation,description,source_chunk
Beowulf,Ray Winstone,acted_in,Acted in Beowulf,unknown_0
Beowulf,Anthony Hopkins,acted_in,Acted in Beowulf,unknown_0
Beowulf,Robin Wright Penn,acted_in,Acted in Beowulf,unknown_0
Beowulf,Brendan Gleeson,acted_in,Acted in Beowulf,unknown_0
Beowulf,John Malkovich,acted_in,Acted in Beowulf,unknown_0
Beowulf,Crispin Glover,acted_in,Acted in Beowulf,unknown_0
Beowulf,Alison Lohman,acted_in,Acted in Beowulf,unknown_0
Beowulf,Angelina Jolie,acted_in,Acted in Beowulf,unknown_0
Beowulf,Paramount Pictures,distributed_by,Distributed by Paramount Pictures,unknown_0
Beowulf,Warner Bros. Pictures,distributed_by,Distributed by Warner Bros. Pictures,unknown_0
Beowulf,IMAX 3D,released_in,Released in IMAX 3D format,unknown_0
Beowulf,RealD,released_in,Released in RealD format,unknown_0
Beowulf,Dolby 3D,released_in,Released in Dolby 3D format,unknown_0
Beowulf,Standard 2D,released_in,Released in standard 2D format,unknown_0
Daniel J. Snyder,Dreams on Spec,creator,wrote and directed the film,unknown_0
Quentin Tarantino,Hollywood screenwriters,member,part of the group of emerging writers,unknown_0
Roger Avary,Hollywood screenwriters,member,part of the group of emerging writers,unknown_0
Video Archives,Quentin Tarantino,location,where Tarantino worked,unknown_0
Video Archives,Roger Avary,location,where Avary worked,unknown_0
Hollywood screenwriters,emerging writers,subset,a specific group of writers,unknown_0
Braddon Mendelson,Rosa Parks v. LaFace Records,defendant,Named as a defendant in the lawsuit,unknown_0
Braddon Mendelson,Xzibit,collaborator,Worked with Xzibit on music videos,unknown_0
Braddon Mendelson,Outkast,collaborator,Worked with Outkast on music videos,unknown_0
Braddon Mendelson,Bizzy Bone,collaborator,Worked with Bizzy Bone on music videos,unknown_0
Braddon Mendelson,Mo Thugs,collaborator,Worked with Mo Thugs on music videos,unknown_0
Braddon Mendelson,Ice Cube,collaborator,Worked with Ice Cube on music videos,unknown_0
Braddon Mendelson,Craig Hamann,collaborator,Directed the film Boogie Boy,unknown_0
Braddon Mendelson,Roger Avary,collaborator,Executive produced the film Boogie Boy,unknown_0
Braddon Mendelson,Quentin Tarantino,collaborator,Worked with Quentin Tarantino on the film My Best Friend's Birthday,unknown_0
Braddon Mendelson,Boogie Boy,producer,Produced the film Boogie Boy,unknown_0
Braddon Mendelson,My Best Friend's Birthday,collaborator,Worked with Quentin Tarantino on the film My Best Friend's Birthday,unknown_0
Raymond Anthony Aleogho Dokpesi,DAAR Communications,founder,Raymond Dokpesi founded DAAR Communications,unknown_0
Raymond Anthony Aleogho Dokpesi,Africa Independent Television (AIT),establisher,Raymond Dokpesi established AIT,unknown_0
Raymond Anthony Aleogho Dokpesi,People's Democratic Party,committee chairman,Raymond Dokpesi was chairman of the People's Democratic Party national conference,unknown_0
DAAR Communications,Africa Independent Television (AIT),affiliate,DAAR Communications owns AIT,unknown_0
People's Democratic Party,National Conference,host,The People's Democratic Party hosted the National Conference,unknown_0
Raymond Anthony Aleogho Dokpesi,Ibadan,birthplace,Raymond Dokpesi was born in Ibadan,unknown_0
Raymond Anthony Aleogho Dokpesi,Nigeria,citizenship,Raymond Dokpesi is a Nigerian citizen,unknown_0
Raymond Anthony Aleogho Dokpesi,Agenebode,ancestral home,Raymond Dokpesi's parents are from Agenebode,unknown_0
Raymond Anthony Aleogho Dokpesi,Family,member,Raymond Dokpesi is a member of a family,unknown_0
Raymond Anthony Aleogho Dokpesi,Siblings,sibling,Raymond Dokpesi has siblings,unknown_0
Roger Avary,Reservoir Dogs,worked on,Roger Avary worked on the film Reservoir Dogs,unknown_0
Roger Avary,Pulp Fiction,worked on,Roger Avary worked on the film Pulp Fiction,unknown_0
Roger Avary,Quentin Tarantino,collaborated with,Roger Avary collaborated with Quentin Tarantino on several projects,unknown_0
Roger Avary,Silent Hill,wrote screenplay for,Roger Avary wrote the screenplay for the film Silent Hill,unknown_0
Roger Avary,Beowulf,wrote screenplay for,Roger Avary wrote the screenplay for the film Beowulf,unknown_0
Roger Avary,Killing Zoe,directed,Roger Avary directed the film Killing Zoe,unknown_0
Roger Avary,The Rules of Attraction,directed,Roger Avary directed the film The Rules of Attraction,unknown_0
Reservoir Dogs,Oscar,won,Reservoir Dogs won the Oscar for Best Original Screenplay,unknown_0
Pulp Fiction,Oscar,won,Pulp Fiction won the Oscar for Best Original Screenplay,unknown_0
Roger Avary,American mass media industry,works in,Roger Avary works in the American mass media industry,unknown_0
Sri Lanka Media Training Institute (SLMTI),Ministry of Mass Media and Information,affiliation,SLMTI is an autonomous establishment under the Ministry of Mass Media and Information,unknown_0
Sri Lanka Media Training Institute (SLMTI),Friedrich Ebert Stiftung (FES),collaboration,SLMTI was founded in collaboration with FES,unknown_0
Sri Lanka Media Training Institute (SLMTI),Sri Lanka Rupavahini Corporation (SLRC),collaboration,SLMTI was founded in collaboration with SLRC,unknown_0
Sri Lanka Media Training Institute (SLMTI),Sri Lanka Foundation Institute (SLFI),collaboration,SLMTI was founded in collaboration with SLFI,unknown_0
Sri Lanka Media Training Institute (SLMTI),Diplomas,offers,SLMTI offers Diplomas in all disciplines related to Mass Media,unknown_0
Sri Lanka Media Training Institute (SLMTI),Certificates,offers,SLMTI offers Certificates in all disciplines related to Mass Media,unknown_0
Sri Lanka Media Training Institute (SLMTI),Higher Diplomas,offers,SLMTI offers Higher Diplomas in all disciplines related to Mass Media,unknown_0
Dr. Dharmasena Pathiraja,Sri Lanka Media Training Institute (SLMTI),chairman,Dr. Dharmasena Pathiraja is the Chairman of SLMTI,unknown_0
Latinos Beyond Reel,Miguel Picker,director,Miguel Picker directed the film,unknown_0
Latinos Beyond Reel,Chyng-Feng Sun,director,Chyng-Feng Sun directed the film,unknown_0
Latinos Beyond Reel,The Media Education Foundation,producer,The Media Education Foundation produced the film,unknown_0
Latinos Beyond Reel,Latinos in the media,topic,the film discusses the representation of Latinos in media,unknown_0
Latinos in the media,underrepresentation,aspect,underrepresentation is a key issue in the representation of Latinos in media,unknown_0
Latinos in the media,marginalization,aspect,marginalization is a key issue in the representation of Latinos in media,unknown_0
Latinos in the media,false representation,aspect,false representation is a key issue in the representation of Latinos in media,unknown_0
Latinos Beyond Reel,off-screen roles,example,the film discusses the portrayal of Latinos in off-screen roles,unknown_0
Latinos Beyond Reel,animated characters,example,the film discusses the portrayal of Latinos in animated characters,unknown_0
Beowulf,ITV,created_by,Beowulf was created by ITV,unknown_0
Beowulf,James Dormer,created_by,Beowulf was created by James Dormer,unknown_0
Beowulf,Tim Haines,created_by,Beowulf was created by Tim Haines,unknown_0
Beowulf,Katie Newman,created_by,Beowulf was created by Katie Newman,unknown_0
Beowulf,Stephen Smallwood,produced_by,Beowulf was produced by Stephen Smallwood,unknown_0
Beowulf,Beowulf (poem),based_on,Beowulf is based on the Old English epic poem,unknown_0
Airing,United Kingdom,occurred_in,Beowulf aired in the United Kingdom,unknown_0
Airing,United States,occurred_in,Beowulf aired in the United States,unknown_0
The Polar Express (film),Chris Van Allsburg,based on,The film is based on the children's book by Chris Van Allsburg,unknown_0
The Polar Express (film),Robert Zemeckis,directed by,Robert Zemeckis directed the film,unknown_0
The Polar Express (film),Daryl Sabara,starring,Daryl Sabara stars in the film,unknown_0
The Polar Express (film),Nona Gaye,starring,Nona Gaye stars in the film,unknown_0
The Polar Express (film),Jimmy Bennett,starring,Jimmy Bennett stars in the film,unknown_0
The Polar Express (film),Eddie Deezen,starring,Eddie Deezen stars in the film,unknown_0
The Polar Express (film),Tom Hanks,starring,Tom Hanks stars in the film with six distinct roles,unknown_0
The Polar Express (film),Tinashe,starring,Tinashe stars in the film as a CGI-model for the female protagonist,unknown_0
The Polar Express (film),Live action motion capture animation,uses,The film uses live action motion capture animation to animate human characters,unknown_0
The Polar Express (film),Christmas,about,The film is about the holiday of Christmas,unknown_0
The Polar Express (film),Film production,part of,The film is part of the process of film production,unknown_0
International House,Peggy Hopkins Joyce,starring,Peggy Hopkins Joyce starred in the film,unknown_0
International House,W. C. Fields,starring,W. C. Fields starred in the film,unknown_0
International House,A. Edward Sutherland,directed by,A. Edward Sutherland directed the film,unknown_0
International House,Paramount Pictures,released by,Paramount Pictures released the film,unknown_0
International House,Big Broadcast,similar to,International House is similar to the Big Broadcast series,unknown_0
International House,Comedy,genre,International House is a comedy film,unknown_0
International House,Musical,genre,International House is a musical film,unknown_0
International House,Pre-Code,era,International House is a pre-Code film,unknown_0
W. C. Fields,Burns and Allen,colleague,W. C. Fields worked with Burns and Allen,unknown_0
Ginger Rogers,Virginia Katherine McMath,birth name,Ginger Rogers was born Virginia Katherine McMath,unknown_0
Ginger Rogers,Fred Astaire,partner,Ginger Rogers was partnered with Fred Astaire in films,unknown_0
Ginger Rogers,American actress,instance of,Ginger Rogers was an American actress,unknown_0
Ginger Rogers,dancer,instance of,Ginger Rogers was a dancer,unknown_0
Ginger Rogers,singer,instance of,Ginger Rogers was a singer,unknown_0
Ginger Rogers,film,instance of,Ginger Rogers performed in films,unknown_0
Ginger Rogers,20th century,active during,Ginger Rogers was active during the 20th century,unknown_0
Hat Check Girl,Sidney Lanfield,directed by,Sidney Lanfield directed the film,unknown_0
Hat Check Girl,Barry Conners,written by,Barry Conners co-wrote the film,unknown_0
Hat Check Girl,Philip Klein,written by,Philip Klein co-wrote the film,unknown_0
Hat Check Girl,Sally Eilers,starring,Sally Eilers starred in the film,unknown_0
Hat Check Girl,Ben Lyon,starring,Ben Lyon starred in the film,unknown_0
Hat Check Girl,Ginger Rogers,starring,Ginger Rogers starred in the film,unknown_0
Hat Check Girl,Monroe Owsley,starring,Monroe Owsley starred in the film,unknown_0
Hat Check Girl,"October 8, 1932",released on,"the film was released on October 8, 1932",unknown_0
Hat Check Girl,Fox Film Corporation,released by,the film was released by Fox Film Corporation,unknown_0
Ralph Murphy,The Big Shot,directed,Directed the film,unknown_0
Earl Baldwin,The Big Shot,wrote,Co-wrote the screenplay,unknown_0
Hal Conklin,The Big Shot,wrote,Co-wrote the screenplay,unknown_0
George Dromgold,The Big Shot,wrote,Co-wrote the screenplay,unknown_0
Joseph Fields,The Big Shot,wrote,Co-wrote the screenplay,unknown_0
Eddie Quillan,The Big Shot,starred,Acted in the film,unknown_0
Maureen O'Sullivan,The Big Shot,starred,Acted in the film,unknown_0
Mary Nolan,The Big Shot,starred,Acted in the film,unknown_0
Roscoe Ates,The Big Shot,starred,Acted in the film,unknown_0
Belle Bennett,The Big Shot,starred,Acted in the film,unknown_0
RKO Pictures,The Big Shot,released,Released the film,unknown_0
The Big Shot,American Pre-Code comedy film,instance_of,Is an example of,unknown_0
Ralph Murphy,Film director,instance_of,Is an example of,unknown_0
Earl Baldwin,Screenwriter,instance_of,Is an example of,unknown_0
Hal Conklin,Screenwriter,instance_of,Is an example of,unknown_0
George Dromgold,Screenwriter,instance_of,Is an example of,unknown_0
Joseph Fields,Screenwriter,instance_of,Is an example of,unknown_0
Eddie Quillan,Actor,instance_of,Is an example of,unknown_0
Maureen O'Sullivan,Actress,instance_of,Is an example of,unknown_0
Mary Nolan,Actress,instance_of,Is an example of,unknown_0
Belle Bennett,Actress,instance_of,Is an example of,unknown_0
RKO Pictures,Film production company,instance_of,Is an example of,unknown_0
The Big Shot,Film release,instance_of,,unknown_0
Albert S. Rogell,Sweepstakes,directed,Directed the film,unknown_0
Lew Lipton,Sweepstakes,wrote,Wrote the screenplay,unknown_0
Ralph Murphy,Sweepstakes,wrote,Co-wrote the screenplay,unknown_0
Eddie Quillan,Sweepstakes,starred,Starred in the film,unknown_0
James Gleason,Sweepstakes,starred,Starred in the film,unknown_0
Marian Nixon,Sweepstakes,starred,Starred in the film,unknown_0
Lew Cody,Sweepstakes,starred,Starred in the film,unknown_0
Paul Hurst,Sweepstakes,starred,Starred in the film,unknown_0
RKO Pathé Pictures,Sweepstakes,produced,Produced the film,unknown_0
Charles R. Rogers,RKO Pathé Pictures,headed,Head of production,unknown_0
William LeBaron,RKO Pathé Pictures,headed,Previous head of production,unknown_0
Sweepstakes,RKO Radio Pictures,released,"Released on July 10, 1931",unknown_0
Ladies of the Jury,Lowell Sherman,director,Directed the film,unknown_0
Ladies of the Jury,Marion Dix,screenwriter,Co-wrote the screenplay,unknown_0
Ladies of the Jury,Edward Salisbury Field,screenwriter,Co-wrote the screenplay,unknown_0
Ladies of the Jury,Eddie Welch,screenwriter,Co-wrote the screenplay,unknown_0
Ladies of the Jury,Edna May Oliver,actor,Starred in the film,unknown_0
Ladies of the Jury,Jill Esmond,actor,Starred in the film,unknown_0
Ladies of the Jury,Ken Murray,actor,Starred in the film,unknown_0
Ladies of the Jury,Roscoe Ates,actor,Starred in the film,unknown_0
Ladies of the Jury,Kitty Kelly,actor,Starred in the film,unknown_0
Ladies of the Jury,RKO Pictures,studio,Released the film,unknown_0
Ladies of the Jury,John Frederick Ballard,playwright,Original play,unknown_0
Ladies of the Jury (play),Ladies of the Jury (film),adaptation,Adapted from the play,unknown_0
Ladies of the Jury (film),Film direction,instance,Example of film direction,unknown_0
Ladies of the Jury (film),Screenwriting,instance,Example of screenwriting,unknown_0
Ladies of the Jury (film),Acting,instance,Example of acting,unknown_0
Ladies of the Jury (film),Film release,instance,"Released on February 5, 1932",unknown_0
Ladies of the Jury (play),Play adaptation,instance,Adapted into a film,unknown_0
Cracked Nuts,Edward F. Cline,directed by,Edward F. Cline directed the film,unknown_0
